step,ekf_x,ekf_y,theta_deg,sigma_xx,sigma_yy,sigma_yaw,event,obs_landmark,obs_range_m,obs_bearing_deg,sigma_xx_before,sigma_xx_after
48,4.1188,2.0943,54.99,0.000252,,,obs_L0,0,1.152,-229.77,0.000253,0.000252
48,4.1183,2.0947,55.03,0.00025,,,obs_L1,1,2.712,-10.51,0.000252,0.00025
48,4.1185,2.0947,55.03,0.000248,,,obs_L3,3,3.997,-70.85,0.00025,0.000248
49,4.1759,2.1768,56.18,0.000255,0.000255,8.5e-05,predict,,,,,
49,4.1759,2.177,56.17,0.000254,,,obs_L0,0,1.183,-227.4,0.000255,0.000254
49,4.1756,2.1774,56.2,0.000251,,,obs_L1,1,2.591,-11.9,0.000254,0.000251
49,4.1754,2.1771,56.18,0.00025,,,obs_L3,3,4.02,-72.85,0.000251,0.00025
50,4.231,2.2602,57.33,0.000257,0.000258,8.2e-05,predict,,,,,
50,4.2312,2.2607,57.32,0.000255,,,obs_L0,0,1.285,-224.91,0.000257,0.000255
50,4.2311,2.2603,57.3,0.000253,,,obs_L1,1,2.526,-12.46,0.000255,0.000253
50,4.2313,2.2609,57.33,0.000251,,,obs_L3,3,3.97,-76.68,0.000253,0.000251
51,4.2849,2.3445,58.47,0.000259,0.000262,7.8e-05,predict,,,,,
51,4.285,2.3445,58.47,0.000258,,,obs_L0,0,1.35,-223.47,0.000259,0.000258
51,4.2846,2.3449,58.5,0.000255,,,obs_L1,1,2.401,-15.13,0.000258,0.000255
51,4.2848,2.3443,58.47,0.000253,,,obs_L3,3,3.896,-77.68,0.000255,0.000253
52,4.337,2.4294,59.61,0.000262,0.000267,7.6e-05,predict,,,,,
52,4.337,2.4296,59.6,0.00026,,,obs_L0,0,1.401,-221.53,0.000262,0.00026
52,4.337,2.4295,59.6,0.000257,,,obs_L1,1,2.292,-16.15,0.00026,0.000257
52,4.3368,2.4297,59.61,0.000255,,,obs_L3,3,3.978,-81.15,0.000257,0.000255
53,4.3873,2.5159,60.76,0.000264,0.000273,7.3e-05,predict,,,,,
53,4.3874,2.5156,60.77,0.000262,,,obs_L0,0,1.483,-220.74,0.000264,0.000262
53,4.3874,2.5158,60.77,0.000259,,,obs_L1,1,2.173,-18.21,0.000262,0.000259
53,4.3874,2.516,60.77,0.000257,,,obs_L3,3,3.928,-83.72,0.000259,0.000257
54,4.4367,2.604,61.92,0.000266,0.00028,7.1e-05,predict,,,,,
54,4.4371,2.6039,61.93,0.000264,,,obs_L0,0,1.619,-219.74,0.000266,0.000264
54,4.4371,2.604,61.94,0.000261,,,obs_L1,1,2.09,-20.28,0.000264,0.000261
54,4.4367,2.6039,61.93,0.000259,,,obs_L3,3,3.979,-85.93,0.000261,0.000259
55,4.4838,2.6922,63.08,0.000269,0.000287,6.9e-05,predict,,,,,
55,4.4841,2.6918,63.09,0.000267,,,obs_L0,0,1.686,-219.01,0.000269,0.000267
55,4.4844,2.6912,63.07,0.000263,,,obs_L1,1,2.019,-21.64,0.000267,0.000263
55,4.4847,2.6912,63.05,0.00026,,,obs_L2,2,4.981,57.52,0.000263,0.00026
55,4.4847,2.6906,63.03,0.000259,,,obs_L3,3,3.875,-87.85,0.00026,0.000259
56,4.5296,2.7788,64.17,0.000268,0.000292,6.6e-05,predict,,,,,
56,4.5304,2.7793,64.18,0.000266,,,obs_L0,0,1.829,-217.45,0.000268,0.000266
56,4.5309,2.7787,64.15,0.000262,,,obs_L1,1,1.891,-23.59,0.000266,0.000262
56,4.5309,2.7783,64.15,0.00026,,,obs_L2,2,5.002,56.44,0.000262,0.00026
56,4.531,2.7783,64.16,0.000259,,,obs_L3,3,3.879,-91.43,0.00026,0.000259
57,4.5746,2.8684,65.33,0.000268,0.000298,6.3e-05,predict,,,,,
57,4.5741,2.8677,65.34,0.000266,,,obs_L0,0,1.728,-216.98,0.000268,0.000266
57,4.5742,2.8683,65.35,0.000262,,,obs_L1,1,1.773,-27.31,0.000266,0.000262
57,4.5743,2.8683,65.35,0.000259,,,obs_L2,2,4.867,56.71,0.000262,0.000259
57,4.574,2.8688,65.37,0.000258,,,obs_L3,3,3.981,-94.46,0.000259,0.000258
58,4.6157,2.9596,66.51,0.000267,0.000304,6.1e-05,predict,,,,,
58,4.616,2.9598,66.52,0.000265,,,obs_L0,0,1.926,-215.91,0.000267,0.000265
58,4.6162,2.9594,66.5,0.000261,,,obs_L1,1,1.732,-29.13,0.000265,0.000261
58,4.6162,2.9597,66.5,0.000258,,,obs_L2,2,4.758,56.64,0.000261,0.000258
58,4.6161,2.9595,66.49,0.000257,,,obs_L3,3,3.919,-96.21,0.000258,0.000257
59,4.656,3.0512,67.62,0.000266,0.000309,5.9e-05,predict,,,,,
59,4.6561,3.052,67.6,0.000264,,,obs_L0,0,1.973,-213.81,0.000266,0.000264
59,4.6562,3.0524,67.61,0.00026,,,obs_L1,1,1.616,-32.68,0.000264,0.00026
59,4.6559,3.0525,67.62,0.000258,,,obs_L2,2,4.728,55.96,0.00026,0.000258
59,4.6559,3.0519,67.6,0.000256,,,obs_L3,3,3.892,-98.41,0.000258,0.000256
59,4.6555,3.0514,67.61,0.000254,,,obs_L4,4,5.034,18.06,0.000256,0.000254
60,4.6938,3.1444,68.76,0.000262,0.000311,5.6e-05,predict,,,,,
60,4.6935,3.1442,68.76,0.000261,,,obs_L0,0,1.999,-214.48,0.000262,0.000261
60,4.6938,3.1439,68.75,0.000257,,,obs_L1,1,1.537,-35.12,0.000261,0.000257
60,4.6933,3.1437,68.77,0.000254,,,obs_L2,2,4.715,55.28,0.000257,0.000254
60,4.6928,3.1431,68.75,0.000253,,,obs_L3,3,4.018,-100.64,0.000254,0.000253
60,4.6927,3.1433,68.75,0.000251,,,obs_L4,4,4.838,17.39,0.000253,0.000251
61,4.7291,3.2369,69.89,0.000259,0.000313,5.3e-05,predict,,,,,
61,4.7292,3.237,69.89,0.000257,,,obs_L0,0,2.138,-214.16,0.000259,0.000257
61,4.7294,3.2356,69.85,0.000254,,,obs_L1,1,1.517,-37.71,0.000257,0.000254
61,4.7291,3.2354,69.87,0.000251,,,obs_L2,2,4.641,55.57,0.000254,0.000251
61,4.7294,3.2356,69.87,0.00025,,,obs_L3,3,3.893,-104.65,0.000251,0.00025
61,4.7299,3.2356,69.85,0.000247,,,obs_L4,4,4.771,17.86,0.00025,0.000247
62,4.7646,3.3302,70.98,0.000255,0.000314,5.1e-05,predict,,,,,
62,4.7644,3.33,70.98,0.000254,,,obs_L0,0,2.181,-213.91,0.000255,0.000254
62,4.7646,3.3293,70.96,0.000251,,,obs_L1,1,1.407,-41.88,0.000254,0.000251
62,4.7646,3.3286,70.97,0.000248,,,obs_L2,2,4.721,55.61,0.000251,0.000248
62,4.7645,3.3282,70.96,0.000247,,,obs_L3,3,3.963,-106.17,0.000248,0.000247
62,4.7649,3.328,70.94,0.000244,,,obs_L4,4,4.712,17.1,0.000247,0.000244
63,4.7977,3.4228,72.11,0.000252,0.000314,5e-05,predict,,,,,
